"","variety","price","winery","taster_name","title"
"34","Sauvignon Blanc",20,"Envolve","Unknown","Envolve 2011 Sauvignon Blanc (Sonoma Valley)"
"35","Pinot Noir",50,"Erath","Paul Gregutt","Erath 2010 Hyland Pinot Noir (McMinnville)"
"36","Viognier-Chardonnay",15,"Estampa","Michael Schachner","Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley)"
"37","Cabernet Sauvignon",21,"Feudi del Pisciotto","Unknown","Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia)"
"38","Primitivo",11,"Feudi di San Marzano","Unknown","Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia)"
"39","Nero d'Avola",12,"Feudo di Santa Tresa","Unknown","Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia)"
"40","Catarratto",17,"Feudo Montoni","Unknown","Feudo Montoni 2011 Catarratto (Sicilia)"
"41","Pinot Noir",22,"Hawkins Cellars","Paul Gregutt","Hawkins Cellars 2009 Pinot Noir (Willamette Valley)"
"42","Gamay",9,"Henry Fessy","Roger Voss","Henry Fessy 2012 Nouveau  (Beaujolais)"
"43","Sauvignon Blanc",14,"Robert Hall","Unknown","Robert Hall 2011 Sauvignon Blanc (Paso Robles)"
"44","Merlot",9,"Sundance","Michael Schachner","Sundance 2011 Merlot (Maule Valley)"
"45","Red Blend",40,"Tarara","Unknown","Tarara 2010 #SocialSecret Red (Virginia)"
"46","Inzolia",13,"Tasca d'Almerita","Unknown","Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia)"
"47","Sauvignon Blanc",16,"Trump","Unknown","Trump 2011 Sauvignon Blanc (Monticello)"
"48","Gamay",14,"Vignerons de Bel Air","Roger Voss","Vignerons de Bel Air 2011 Eté Indien  (Brouilly)"
"49","Petit Verdot",22,"Casa Silva","Michael Schachner","Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley)"
"50","Monica",14,"Cantine di Dolianova","Unknown","Cantine di Dolianova 2010 Dolia  (Monica di Sardegna)"
"51","Bordeaux-style White Blend",15,"Château de Sours","Roger Voss","Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc)"
"52","Chardonnay",30,"RustRidge","Unknown","RustRidge 2010 Estate Bottled Chardonnay (Napa Valley)"
"53","Chardonnay",14,"Souverain","Virginie Boone","Souverain 2010 Chardonnay (North Coast)"
"54","Grillo",13,"Tasca d'Almerita","Unknown","Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia)"
"55","Pinot Noir",13,"Tres Palacios","Michael Schachner","Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley)"
"56","Malbec",55,"Mellisoni","Sean P. Sullivan","Mellisoni 2014 Malbec (Columbia Valley (WA))"
"57","Cabernet Sauvignon",100,"Okapi","Virginie Boone","Okapi 2013 Estate Cabernet Sauvignon (Napa Valley)"
"58","Sangiovese",17,"Podere dal Nespoli","Kerin O’Keefe","Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna)"
"59","Cabernet Franc",25,"Ram","Sean P. Sullivan","Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA))"
"60","Champagne Blend",58,"Roland Champion","Roger Voss","Roland Champion NV Brut Rosé  (Champagne)"
"61","Sauvignon Blanc",26,"Sevtap","Matt Kettmann","Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley)"
"62","Chardonnay",24,"Simonnet-Febvre","Roger Voss","Simonnet-Febvre 2015  Chablis"
"63","Chardonnay",15,"Vignerons des Terres Secrètes","Roger Voss","Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine"
"64","Bordeaux-style Red Blend",46,"Basel Cellars","Sean P. Sullivan","Basel Cellars 2013 Inspired Red (Columbia Valley (WA))"
"65","Red Blend",12,"Cocobon","Jim Gordon","Cocobon 2014 Red (California)"
"66","Champagne Blend",55,"Collet","Roger Voss","Collet NV Brut Rosé  (Champagne)"
"67","Cabernet Sauvignon",40,"Eco Terreno","Virginie Boone","Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley)"
"68","Aglianico",32,"Grifalco","Kerin O’Keefe","Grifalco 2013 Daginestra  (Aglianico del Vulture)"
"69","Cabernet Sauvignon",75,"Hindsight","Virginie Boone","Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain)"
"70","Petite Sirah",55,"Hindsight","Virginie Boone","Hindsight 2012 Estate Grown Petite Sirah (Calistoga)"
"71","Bordeaux-style Red Blend",75,"Mulvane Wine Co.","Virginie Boone","Mulvane Wine Co. 2013 The Cypher Red (Napa Valley)"
"72","Riesling",9,"Schmitt Söhne","Anna Lee C. Iijima","Schmitt Söhne 2015 Riesling (Rheinhessen)"
"73","Chardonnay",18,"Yalumba","Joe Czerwinski","Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia)"
"74","Pinot Noir",25,"Z'IVO","Paul Gregutt","Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills)"
"75","Touriga Nacional",NA,"Adega Cooperativa do Cartaxo","Roger Voss","Adega Cooperativa do Cartaxo 2014 Bridão Touriga Nacional (Tejo)"
"76","Carmenère",12,"Aresti","Michael Schachner","Aresti 2014 Special Release Reserva Carmenère (Rapel Valley)"
"77","Albariño",16,"Spyro","Michael Schachner","Spyro 2014 Albariño (Rías Baixas)"
"78","Petit Manseng",11,"Lionel Osmin & Cie","Roger Voss","Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France)"
"79","Rosé",20,"Mitolo","Joe Czerwinski","Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale)"
"80","Zinfandel",24,"Napa Cellars","Virginie Boone","Napa Cellars 2014 Classic Zinfandel (Napa Valley)"
"81","Riesling",10,"P.J. Valckenberg","Anna Lee C. Iijima","P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen)"
"82","Albariño",20,"Palencia","Sean P. Sullivan","Palencia 2016 Albariño (Ancient Lakes)"
"83","Merlot",55,"Passaggio","Virginie Boone","Passaggio 2014 Blau Vineyards Merlot (Knights Valley)"
"84","Vernaccia",29,"Poggio Alloro","Kerin O’Keefe","Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano)"
"85","Rosato",19,"Fattoria Sardi","Kerin O’Keefe","Fattoria Sardi 2015 Rosato (Toscana)"
"86","Pinot Gris",18,"Folie à Deux","Virginie Boone","Folie à Deux 2015 Pinot Gris (Sonoma Coast)"
"87","Meritage",55,"Franciscan","Virginie Boone","Franciscan 2013 Magnificat Meritage (Napa Valley)"
"88","Grüner Veltliner",12,"Fuchs","Anne Krebiehl MW","Fuchs 2015 Grüner Veltliner (Burgenland)"
"89","Viognier",22,"Gård","Sean P. Sullivan","Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA))"
"90","Gamay",20,"Henry Fessy","Roger Voss","Henry Fessy 2015  Juliénas"
"91","Gamay",18,"Henry Fessy","Roger Voss","Henry Fessy 2015  Régnié"
"92","Riesling",20,"Heron Hill","Anna Lee C. Iijima","Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes)"
"93","Sangiovese",30,"Serpaia di Endrizzi","Kerin O’Keefe","Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano)"
"94","Red Blend",16,"Madonna Alta","Kerin O’Keefe","Madonna Alta 2014 Nativo Red (Toscana)"
"95","White Blend",14,"Marchesi Antinori","Kerin O’Keefe","Marchesi Antinori 2015 Villa Antinori White (Toscana)"
"96","Red Blend",30,"Marchesi de' Frescobaldi","Kerin O’Keefe","Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana)"
"97","Vermentino",18,"Marchesi de' Frescobaldi","Kerin O’Keefe","Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana)"
"98","Zinfandel",26,"Martin Ranch","Matt Kettmann","Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley)"
"99","Gamay",23,"Pardon et Fils","Roger Voss","Pardon et Fils 2015 Les Quartelets  (Brouilly)"
"100","Cabernet Sauvignon",85,"Piña","Virginie Boone","Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville)"
"101","Red Blend",15,"Podere Ciona","Kerin O’Keefe","Podere Ciona 2014 Semifonte Red (Toscana)"
"102","Bordeaux-style Red Blend",18,"Pull","Matt Kettmann","Pull 2012 BDX Red (Paso Robles)"
"103","Grenache Blanc",25,"R2","Matt Kettmann","R2 2013 Camp 4 Vineyard Grenache Blanc (Santa Ynez Valley)"
"104","Syrah",44,"Rideau","Matt Kettmann","Rideau 2014 Estate Syrah"
"105","Red Blend",80,"Tenuta Forconi","Kerin O’Keefe","Tenuta Forconi 2013 Toscano Red (Toscana)"
"106","Riesling",80,"Dopff & Irion","Unknown","Dopff & Irion 2004 Schoenenbourg Grand Cru Vendanges Tardives Riesling (Alsace)"
"107","Nebbiolo",70,"Ceretto","Unknown","Ceretto 2003 Bricco Rocche Prapó  (Barolo)"
"108","Chardonnay",36,"Matrix","Unknown","Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley)"
"109","Zinfandel",39,"Mauritson","Unknown","Mauritson 2007 Rockpile Cemetary Vineyard Zinfandel (Rockpile)"
"110","Shiraz-Cabernet Sauvignon",40,"Henry's Drive Vignerons","Joe Czerwinski","Henry's Drive Vignerons 2006 Parson's Flat Shiraz-Cabernet Sauvignon (Padthaway)"
"111","Cabernet Sauvignon",45,"Silverado","Unknown","Silverado 2006 Cabernet Sauvignon (Napa Valley)"
"112","Gewürztraminer",48,"Pierre Sparr","Unknown","Pierre Sparr 2007 Vendages Tardives Gewurztraminer (Alsace)"
"113","Pinot Blanc",17,"Kuentz-Bas","Unknown","Kuentz-Bas 2008 Pinot Blanc (Alsace)"
"114","Bordeaux-style Red Blend",25,"Camberley","Unknown","Camberley 2004 Philosophers' Stone Red (Stellenbosch)"
"115","Alsace white blend",20,"Dopff & Irion","Unknown","Dopff & Irion 2008 Gentil White (Alsace)"
"116","Cabernet Sauvignon",30,"Delheim","Roger Voss","Delheim 2001 Grand Reserve Cabernet Sauvignon (Simonsberg-Stellenbosch)"
"117","Nebbiolo",68,"Poderi Luigi Einaudi","Unknown","Poderi Luigi Einaudi 2003  Barolo"
"118","Cabernet Sauvignon",78,"Clark-Clauden","Unknown","Clark-Clauden 2007 Cabernet Sauvignon (Napa Valley)"
"119","Nebbiolo",60,"Giacomo Ascheri","Unknown","Giacomo Ascheri 2001 Sorano  (Barolo)"
"120","Bordeaux-style Red Blend",50,"Lassègue","Joe Czerwinski","Lassègue 2003  Saint-Émilion"
"121","Chenin Blanc",NA,"Beaumont","Roger Voss","Beaumont 2005 Hope Marguerite Chenin Blanc (Walker Bay)"
"122","Alsace white blend",10,"Dopff & Irion","Unknown","Dopff & Irion 2008 Crustacés White (Alsace)"
"123","Pinot Gris",112,"Kuentz-Bas","Unknown","Kuentz-Bas 2007 Cuvée Jerémy Sélection de Grains Nobles Pinot Gris (Alsace)"
"124","Barbera",26,"Poderi Colla","Unknown","Poderi Colla 2005 Costa Bruna  (Barbera d'Alba)"
"125","Nebbiolo",45,"Giacomo Ascheri","Unknown","Giacomo Ascheri 2003 Vigna dei Pola  (Barolo)"
"126","Riesling",17,"Banyan","Unknown","Banyan 2007 Riesling (Santa Lucia Highlands)"
"127","Pinot Gris",84,"Domaine Zind-Humbrecht","Unknown","Domaine Zind-Humbrecht 2007 Hunawihr Clos Windsbuhl Pinot Gris (Alsace)"
"128","Pinot Noir",64,"Testarossa","Matt Kettmann","Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands)"
"129","Cabernet Sauvignon",68,"Vincent Vineyards","Matt Kettmann","Vincent Vineyards 2010 Family Reserve Cabernet Sauvignon (Santa Ynez Valley)"
"130","Riesling",16,"Weingut Liebfrauenstift","Anna Lee C. Iijima","Weingut Liebfrauenstift 2014 Dry Riesling (Rheinhessen)"
"131","Rhône-style Red Blend",35,"Wrath","Matt Kettmann","Wrath 2013 Destruction Level Red (Monterey)"
"132","Cabernet Sauvignon",25,"Yardstick","Virginie Boone","Yardstick 2013 Ruth's Reach Cabernet Sauvignon (Napa Valley)"
"133","Portuguese White",30,"Herdade Grande","Roger Voss","Herdade Grande 2014 Gerações Colheita Seleccionada Branco White (Alentejano)"
"134","Pinot Noir",55,"Albatross Ridge","Matt Kettmann","Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley)"
"135","Syrah",46,"Alta Colina","Matt Kettmann","Alta Colina 2012 Old 900 Syrah (Paso Robles)"
"136","Graciano",50,"Marques de Griñon","Michael Schachner","Marques de Griñon 2010 Single Vineyard Estate Bottled Graciano (Dominio de Valdepusa)"
"137","Syrah",36,"Big Basin","Matt Kettmann","Big Basin 2013 Syrah (Santa Cruz Mountains)"
"138","Riesling",14,"Carl Graff","Anna Lee C. Iijima","Carl Graff 2014 Graacher Himmelreich Spätlese Riesling (Mosel)"
"139","Portuguese Red",26,"Casa Santa Vitória","Roger Voss","Casa Santa Vitória 2013 Grande Reserva Tinto Red (Alentejano)"
"140","Sangiovese",38,"Castello di Gabbiano","Kerin O’Keefe","Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico)"
"141","Sangiovese",NA,"Castello Romitorio","Kerin O’Keefe","Castello Romitorio 2011 Filo di Seta  (Brunello di Montalcino)"
"142","Malbec",35,"Château Vincens","Roger Voss","Château Vincens 2012 Malbec (Cahors)"
"143","Red Blend",35,"Chronic Cellars","Matt Kettmann","Chronic Cellars 2013 Mr. Nibbles Red (Paso Robles)"
"144","Riesling",28,"Claiborne & Churchill","Matt Kettmann","Claiborne & Churchill 2014 Claiborne Vineyard Riesling (Edna Valley)"
"145","Red Blend",29,"Conde de Velázquez","Michael Schachner","Conde de Velázquez 2012 Condesa Real Premium Blend Red (Aconcagua Valley)"
"146","Cabernet Sauvignon",32,"Cono Sur","Michael Schachner","Cono Sur 2012 20 Barrels Cabernet Sauvignon (Maipo Valley)"
"147","Tannat-Cabernet",25,"Domaine Berthoumieu","Roger Voss","Domaine Berthoumieu 2013 Charles de Batz Tannat-Cabernet (Madiran)"
"148","Cabernet Franc",28,"Dracaena","Matt Kettmann","Dracaena 2013 Cabernet Franc (Paso Robles)"
"149","Merlot",95,"Duckhorn","Virginie Boone","Duckhorn 2012 Rector Creek Vineyard Merlot (Napa Valley)"
"150","Pinot Noir",44,"Dutton-Goldfield","Virginie Boone","Dutton-Goldfield 2014 Dutton Ranch Pinot Noir (Russian River Valley)"
"151","Riesling",30,"Fritz Haag","Anna Lee C. Iijima","Fritz Haag 2014 Brauneberger Feinherb Riesling (Mosel)"
"152","Riesling",22,"Fritz Haag","Anna Lee C. Iijima","Fritz Haag 2014 Riesling (Mosel)"
"153","Cabernet Sauvignon",20,"G7","Michael Schachner","G7 2012 The 7th Generation Gran Reserva Estate Bottled Cabernet Sauvignon (Loncomilla Valley)"
"154","Pinot Noir",38,"Le Cadeau","Paul Gregutt","Le Cadeau 2014 Pinot Noir (Willamette Valley)"
"155","Sauvignon Blanc",19,"Stoneleigh","Joe Czerwinski","Stoneleigh 2008 Sauvignon Blanc (Marlborough)"
"156","Sauvignon",25,"Tenuta Peter Sölva & Söhne","Unknown","Tenuta Peter Sölva & Söhne 2007 De Silva Sauvignon (Alto Adige)"
"157","Sangiovese",22,"Isole e Olena","Unknown","Isole e Olena 2005  Chianti Classico"
"158","Syrah",25,"Kenwood","Unknown","Kenwood 2005 Jack London Vineyard Syrah (Sonoma Valley)"
"159","Chardonnay",27,"La Chablisienne","Roger Voss","La Chablisienne 2006 Les Vénérables Vieilles Vignes  (Chablis)"
"160","Chardonnay",23,"Manzoni","Unknown","Manzoni 2006 Lucia Highland Vineyard Chardonnay (Santa Lucia Highlands)"
"161","Pinot Noir",36,"McIntyre Vineyards","Unknown","McIntyre Vineyards 2006 Mission Ranch Pinot Noir (Arroyo Seco)"
"162","Sangiovese Grosso",NA,"Abbadia Ardenga","Unknown","Abbadia Ardenga 2003 M. Vigna  (Brunello di Montalcino)"
"163","Torrontés",12,"Alamos","Michael Schachner","Alamos 2007 Torrontés (Salta)"
"164","Chardonnay",35,"Anaba","Unknown","Anaba 2007 Chardonnay (Sonoma Coast)"
"165","Carmenère",15,"Apaltagua","Michael Schachner","Apaltagua 2007 Envero Gran Reserva Carmenère (Colchagua Valley)"
"166","Pinot Noir",40,"Harrington","Unknown","Harrington 2006 Wiley Vineyard Pinot Noir (Anderson Valley)"
"167","Red Blend",48,"Abbazia Santa Anastasia","Unknown","Abbazia Santa Anastasia 2003 Montenero Red (Sicilia)"
"168","Merlot",11,"Viña Bisquertt","Michael Schachner","Viña Bisquertt 2007 Casa La Joya Reserve Merlot (Colchagua Valley)"
"169","Chardonnay",11,"Emiliana","Michael Schachner","Emiliana 2008 Natura Chardonnay (Casablanca Valley)"
"170","Red Blend",26,"Fattoria Alois","Unknown","Fattoria Alois 2007 Campole Red (Campania)"
"171","Red Blend",20,"Aldegheri","Unknown","Aldegheri 2003 Le Pietre Santambrogio Red (Rosso del Veronese)"
"172","Prugnolo Gentile",35,"Carpineto","Unknown","Carpineto 2003 Riserva  (Vino Nobile di Montepulciano)"
"173","Vernaccia",18,"Cesani","Unknown","Cesani 2007 Pancole  (Vernaccia di San Gimignano)"
"174","Chenin Blanc",23,"Spier","Lauren Buzzeo","Spier 2014 21 Gables Chenin Blanc (Western Cape)"
"175","Cabernet Sauvignon",60,"Sequum","Virginie Boone","Sequum 2013 Four Soil Mélange Cabernet Sauvignon (Napa Valley)"
"176","White Blend",62,"Terlan","Kerin O’Keefe","Terlan 2014 Nova Domus Riserva White (Alto Adige)"
"177","Syrah",50,"Yatir","Mike DeSimone","Yatir 2011 Syrah (Judean Hills)"
"178","Portuguese Red",28,"Adega Cooperativa de Borba","Roger Voss","Adega Cooperativa de Borba 2012 Montes Claros Garrafeira Red (Alentejo)"
"179","G-S-M",30,"J. Lohr","Matt Kettmann","J. Lohr 2014 Gesture G-S-M (Paso Robles)"
"180","Chardonnay",25,"J. Lohr","Matt Kettmann","J. Lohr 2015 October Night Chardonnay (Arroyo Seco)"
"181","Zinfandel",32,"Del Carlo Winery","Virginie Boone","Del Carlo Winery 2014 Home Ranch Teldeschi Vineyards Century Old Vine Zinfandel (Dry Creek Valley)"
"182","White Blend",40,"Delaire Graff","Lauren Buzzeo","Delaire Graff 2013 Reserve White (Coastal Region)"
"183","Rhône-style Red Blend",16,"Domaine St Pierre","Joe Czerwinski","Domaine St Pierre 2014 Red (Côtes du Rhône)"
"184","Chardonnay",20,"Eikendal","Lauren Buzzeo","Eikendal 2014 Chardonnay (Western Cape)"
"185","Rhône-style Red Blend",32,"Famille Perrin","Joe Czerwinski","Famille Perrin 2013 Les Christins Red (Vacqueyras)"
"186","Verdejo",40,"Matarromera","Michael Schachner","Matarromera 2015 Fermentado en Barrica Verdejo (Rueda)"
"187","Rhône-style Red Blend",36,"Mounts","Virginie Boone","Mounts 2014 Verah Red (Dry Creek Valley)"
"188","Bordeaux-style Red Blend",80,"Or Haganuz","Mike DeSimone","Or Haganuz 2014 French Blend Red (Galilee)"
"189","Sangiovese",57,"Podere Scopetone","Kerin O’Keefe","Podere Scopetone 2012  Brunello di Montalcino"
"190","Portuguese Red",20,"Quinta de Foz de Arouce","Roger Voss","Quinta de Foz de Arouce 2013 Red (Beira Atlantico)"
"191","Fumé Blanc",20,"Robert Mondavi","Virginie Boone","Robert Mondavi 2015 Fumé Blanc (Napa Valley)"
"192","Furmint",36,"Samuel Tinon","Jeff Jenssen","Samuel Tinon 2015 Megyer Dry Furmint (Tokaj)"
"193","Chardonnay",40,"Sixteen by Twenty","Virginie Boone","Sixteen by Twenty 2014 Chardonnay (Sonoma Coast)"
"194","Pinot Bianco",40,"St. Pauls","Kerin O’Keefe","St. Pauls 2014 Passion Riserva Pinot Bianco (Alto Adige)"
"195","Pinot Bianco",NA,"Terlan","Kerin O’Keefe","Terlan 2015 Pinot Bianco (Alto Adige)"
"196","Malbec",22,"Mendel","Michael Schachner","Mendel 2014 Lunta Malbec (Luján de Cuyo)"
"197","Chenin Blanc",20,"Oldenburg","Lauren Buzzeo","Oldenburg 2014 Chenin Blanc (Stellenbosch)"
"198","Pinot Noir",15,"Wagner","Unknown","Wagner 2006 Grace House Pinot Noir (Finger Lakes)"
"199","Red Blend",18,"Benessere","Unknown","Benessere 2005 Costa Del Sol Red (Napa Valley)"
"200","Gewürztraminer",16,"Bloomer Creek","Susan Kostrzewa","Bloomer Creek 2006 Gewürztraminer (Finger Lakes)"
"201","Bonarda",10,"Andean Sky","Michael Schachner","Andean Sky 2007 Bonarda (Mendoza)"
"202","Shiraz",12,"Angove's","Unknown","Angove's 2006 Red Belly Black Shiraz (South Australia)"
"203","Pinot Noir",28,"Silvan Ridge","Paul Gregutt","Silvan Ridge 2006 Reserve Pinot Noir (Willamette Valley)"
"204","Montepulciano",10,"Talamonti","Unknown","Talamonti 2007 Cerasuolo Rosè  (Montepulciano d'Abruzzo)"
"205","Syrah",49,"Testarossa","Unknown","Testarossa 2006 Thompson Vineyard Syrah (Santa Barbara County)"
"206","Moscato",18,"Consorzio Vini Tipici di San Marino","Unknown","Consorzio Vini Tipici di San Marino NV Moscato (San Marino)"
"207","Grenache",29,"D'Arenberg","Joe Czerwinski","D'Arenberg 2006 The Derelict Vineyard Grenache (McLaren Vale)"
"208","Cabernet Sauvignon",36,"Dogwood","Unknown","Dogwood 2005 Cabernet Sauvignon (Mendocino)"
"209","Ugni Blanc-Colombard",9,"Domaine du Tariquet","Roger Voss","Domaine du Tariquet 2007 Ugni Blanc-Colombard (Vin de Pays des Côtes de Gascogne)"
"210","Sangiovese",34,"Falcor","Unknown","Falcor 2005 Sangiovese (Napa Valley)"
"211","Red Blend",13,"J. & F. Lurton","Michael Schachner","J. & F. Lurton 2007 Herederos de François Lurton Villafrance de Duero Red (Vino de la Tierra de Castilla y León)"
"212","Sauvignon Blanc",15,"Long Flat","Unknown","Long Flat 2006 Destinations Sauvignon Blanc (Adelaide Hills)"
"213","Merlot",25,"Work","Unknown","Work 2004 Reserve Merlot (Sonoma Mountain)"
"214","Pinot Noir",45,"Amity","Paul Gregutt","Amity 2006 Estate Single Vineyard Pinot Noir (Willamette Valley)"
"215","Cabernet Sauvignon",49,"Blue Rock","Unknown","Blue Rock 2005 Estate Cabernet Sauvignon (Alexander Valley)"
"216","Zinfandel",35,"Cloud 9","Unknown","Cloud 9 2006 Seity Zinfandel (Amador County)"
"217","Malbec",15,"Cueva de las Manos","Michael Schachner","Cueva de las Manos 2007 Reserve Malbec (Luján de Cuyo)"
"218","Petite Sirah",45,"David Fulton","Unknown","David Fulton 2008 Petite Sirah (St. Helena)"
"219","Syrah-Viognier",20,"Goats do Roam Wine Co.","Lauren Buzzeo","Goats do Roam Wine Co. 2008 Goat-Roti Syrah-Viognier (Coastal Region)"
"220","Cabernet Sauvignon",35,"Hartenberg","Lauren Buzzeo","Hartenberg 2007 Cabernet Sauvignon (Stellenbosch)"
"221","Red Blend",37,"Algodon","Michael Schachner","Algodon 2008 Estate Blend Gran Reserva Red"
"222","Red Blend",39,"Beaver Creek","Virginie Boone","Beaver Creek 2008 Fairytale Red (Napa Valley)"
"223","Pinot Noir",60,"Byron","Unknown","Byron 2009 Monument Pinot Noir (Santa Maria Valley)"
"224","Syrah",19,"Jardin","Lauren Buzzeo","Jardin 2007 Syrah (Stellenbosch)"
"225","Red Blend",14,"Kaiken","Michael Schachner","Kaiken 2008 Corte Malbec-Bonarda-Petit Verdot Red (Mendoza)"
