"","x"
"391","Winzer Krems"
"392","Wölffer"
"393","Dunbar"
"394","Eschenhof Holzer"
"395","Fattorie Romeo del Castello"
"396","Flying Cloud"
"397","Gadais Père et Fils"
"398","André Brunel"
"399","Majolini"
"400","Montaudon"
"401","Montemercurio"
"402","Patrick Javillier"
"403","Philippe Fontaine"
"404","Pillitteri"
"405","Roederer Estate"
"406","Rusack"
"407","Bellavista"
"408","Chanoine"
"409","Chehalem"
"410","Henri de Villamont"
"411","Vollereaux"
"412","Wittmann"
"413","Valentina Cubi"
"414","Deutz"
"415","Domaine Serene"
"416","Dr. Loosen"
"417","H. Blin"
"418","Jeaunaux-Robin"
"419","Bell"
"420","Château Vray Croix de Gay"
"421","Dampierre"
"422","Santa Maria La Palma"
"423","Sparkman"
"424","Argiolas"
"425","Babcock"
"426","Cape View"
"427","Ken Forrester"
"428","Louis Bernard"
"429","Lyeth"
"430","Marco Cecchini"
"431","Vigneti Le Monde"
"432","V&N; Cellars"
"433","Zerba Cellars"
"434","Insania"
"435","Knapp"
"436","Lava Cap"
"437","Loess"
"438","MICA Cellars"
"439","Michael Pozzan"
"440","Domaine du Grand Cros"
"441","El Coto"
"442","Fenestra"
"443","Gunter Triebaumer"
"444","Hanna"
"445","Alain Jaume et Fils"
"446","Aleo"
"447","Altùris"
"448","Camaraderie"
"449","Boude Baudin"
"450","Conn Creek"
"451","D.R. Stephens"
"452","Davis Family"
"453","Domaine Jeannin-Naltet"
"454","Qupé"
"455","Rex Hill"
"456","Ruby"
"457","Structure"
"458","Tumwater"
"459","Joseph Jewell"
"460","Le Vigne"
"461","Maximin Grünhäuser"
"462","Northstar"
"463","Padis"
"464","Paul O'Brien"
"465","Flying Goat Cellars"
"466","Abbazia di Novacella"
"467","Midsummer Cellars"
"468","Les Belles Collines"
"469","Lutum"
"470","Turiya"
"471","Iron Horse"
"472","Brandini"
"473","Artesa"
"474","Carlisle"
"475","Château Vignelaure"
"476","Clos d'Argentine"
"477","Mas de Cadenet"
"478","Passing Time"
"479","Resalte"
"480","Sanctuary"
"481","Terre Rouge"
"482","Limerick Lane"
"483","Loring Wine Company"
"484","Eighty Four"
"485","Four Lanterns"
"486","World's End"
"487","Benegas"
"488","W.H. Smith"
"489","Alleromb"
"490","Ardor"
"491","Berryessa Gap"
"492","Brezza"
"493","Château Bois Chantant"
"494","Château de Campuget"
"495","Château de l'Aubrade"
"496","Château de Pressac"
"497","Chateau Lafayette Reneau"
"498","Château Maison Noble Saint Martin"
"499","Cupcake"
"500","Raconteur"
"501","Savage Grace"
"502","Seven Falls"
"503","Silvertip"
"504","Steininger"
"505","Stevens"
"506","Strauss"
"507","Trinity River"
"508","Umathum"
"509","Vintage Cowboy"
"510","Kontos"
"511","Landhaus Mayer"
"512","Lavau"
"513","L'Ecole No. 41"
"514","Lyrarakis"
"515","Midnight"
"516","Michele Chiarlo"
"517","Monte Xanic"
"518","Paoletti"
"519","Peconic Bay Winery"
"520","Príncipe de Viana"
"521","Proemio"
"522","Quady North"
"523","Quinta do Portal"
"524","Raptor Ridge"
"525","Rodney Strong"
"526","Saintsbury"
"527","Sextant"
"528","Solar de Pinheiro"
"529","Suavia"
"530","Tilia"
"531","B Cellars"
"532","Bacio della Luna"
"533","Barlow"
"534","Borgo Maragliano"
"535","Bortolotti"
"536","Coiled"
"537","Colter's Creek"
"538","Corte Falco"
"539","Domenico Cavazza"
"540","Kangarilla Road"
"541","Walt"
"542","WillaKenzie Estate"
"543","Willm"
"544","Jean-Marc Bernhard"
"545","Yeringberg"
"546","Armida"
"547","Marqués de Murrieta"
"548","Biecher & Schaal"
"549","Domaines Schlumberger"
"550","Foxen"
"551","Luis Duarte"
"552","Melhill"
"553","Niner"
"554","Purple Hands"
"555","Quinta da Lagoalva de Cima"
"556","Quinta do Monte Xisto"
"557","Reichsgraf von Kesselstatt"
"558","Stone The Crows"
"559","Sturm"
"560","Plantagenet"
"561","Scratch"
"562","Sipp Mack"
"563","St. Amant"
"564","Stoller"
"565","Fable Mountain"
"566","Vine Cliff"
"567","Va Piano"
"568","Y Rousseau"
"569","Monte Volpe"
"570","Palladino"
"571","Paradise Ridge"
"572","Pecchenino"
"573","Poet's Leap"
"574","Rafael Cambra"
"575","Raphael"
"576","Seven Hills"
"577","Snoqualmie"
"578","Stags' Leap Winery"
"579","The Grapes of Roth"
"580","The Withers Winery"
"581","Truchard"
"582","Acacia"
"583","Array"
"584","Baracchi Riccardo"
"585","Barrister"
"586","Bodegas Berceo"
"587","Bunnell"
"588","Castello di Neive"
"589","Castello di Querceto"
"590","Chateau Ste. Michelle"
"591","Cobb"
"592","Comm. G. B. Burlotto"
"593","Cooper-Garrod"
"594","Mosquito Fleet"
"595","Nadia"
"596","Nittnaus Hans und Christine"
"597","Nottingham Cellars"
"598","Poggio Argentiera"
"599","Pride Mountain"
"600","Reyneke"
"601","Ruffino"
"602","Saint Clair"
"603","Soellner"
"604","Woodinville Wine Cellars"
"605","Kanonkop"
"606","El Enemigo"
"607","Château d'Esclans"
"608","Château Riotor"
"609","Château Sainte Marguerite"
"610","Cloudy Bay"
"611","Domaine de la Bastide Blanche"
"612","Domaine Sainte-Marie"
"613","Dry Creek Vineyard"
"614","Dry River"
"615","Dutton Estate"
"616","Failla"
"617","Friedeman"
"618","Akarua"
"619","Benvenuto de la Serna"
"620","Carrick"
"621","JCB"
"622","Casca Wines"
"623","Cave de Viré"
"624","Cortes de Cima"
"625","Domaine Bousquet"
"626","Messias"
"627","Mont Sec"
"628","Paolo Manzone"
"629","Quinta de Paços"
"630","Rascal"
"631","Terrazas de Los Andes"
"632","Jack's House"
"633","Kiwi Cuvée"
"634","Domaine Michel Goubard"
"635","Domaine Poulleau Père et Fils"
"636","Durigutti"
"637","El Esteco"
"638","Felten Cellars"
"639","Wines & Winemakers"
"640","Lagarde"
"641","Marchesi di Barolo"
"642","McPherson"
"643","Patriarche Père et Fils"
"644","Paul Reitz"
"645","Pech Merle"
"646","Punset"
"647","Ribafreixo"
"648","Jacob's Creek"
"649","William Knuttel"
"650","Casa Larga"
"651","Cave de Beblenheim"
"652","De Loach"
"653","Dopff Au Moulin"
"654","Center of Effort"
"655","Handley"
"656","Kuleto Estate"
"657","Lane Tanner"
"658","MacRostie"
"659","Monte De Oro"
"660","Ninquén"
"661","Oro de Castilla"
"662","Pablo del Villar"
"663","Pax"
"664","Robert Foley"
"665","42°S"
"666","Manyana"
"667","McWilliam's Hanwood Estate"
"668","Paternoster"
"669","G. H. Mumm"
"670","Jean Milan"
"671","Monte da Penha"
"672","Patton Valley"
"673","Pierre Gimonnet et Fils"
"674","Scubla"
"675","Adelsheim"
"676","Bruno Paillard"
"677","Castello d'Albola"
"678","Ferrari"
"679","Laetitia"
"680","Bella"
"681","Quinta do Sagrado"
"682","San Pedro de Yacochuya"
"683","Sobredos"
"684","St. Supéry"
"685","Von Schleinitz"
"686","Barnard Griffin"
"687","Beacon Hill"
"688","Bernard Magrez"
"689","Brian Carter Cellars"
"690","Buttonwood"
"691","Château Corbin"
"692","Château Haut-Logat"
"693","Château La Branne"
"694","Château Mayne Vieil"
"695","Château Mille-Roses"
"696","Chessman"
"697","Deerfield Ranch"
"698","Domaine Franck Besson"
"699","Efeste"
"700","Firesteed"
"701","Iron Hub"
"702","Kooyong"
"703","Moncaro"
"704","Finca Constancia"
"705","Aiken"
"706","Castell"
"707","Donkey & Goat"
"708","Valdicava"
"709","Finn Hill"
"710","Keuka Spring"
"711","La Playa"
"712","Les Vins Aujoux"
"713","Mont Gravet"
"714","Navardia"
"715","Pata Negra"
"716","Ridolfi"
"717","Still Waters"
"718","Stomping Ground"
"719","Tenuta Poggio il Castellare"
"720","Tenuta San Giorgio"
"721","Terrapura"
"722","Clos Troteligotte"
"723","Columbia Winery"
"724","Domaine de Thulon"
"725","Domaine du Haut-Poncié"
"726","Domaine du Vissoux"
"727","Dosio"
"728","Georges Duboeuf"
"729","Juvé y Camps"
"730","Laurent Gauthier"
"731","Leaping Horse"
"732","Manoir du Carra"
"733","Maryhill"
"734","Cottanera"
"735","CVA Canicattì"
"736","Domaine Barmès-Buecher"
"737","Domaine Bott-Geyl"
"738","Domaine Collotte"
"739","Domaine Faiveley"
"740","Domaine Jacques Prieur"
"741","Domaine René Bouvier"
"742","Domaine Roland Schmitt"
"743","Dr. H. Thanisch (Erben Thanisch)"
"744","Easton"
"745","Edna Valley Vineyard"
"746","Fattoria La Rivolta"
"747","Fess Parker"
"748","Foretell"
"749","Gershon Bachus"
"750","Graci"
"751","Tornatore"
"752","West of Temperance"
"753","Winzergenossenschaft Mayschoss-Altenahr"
"754","Baglio del Cristo di Campobello"
"755","Beresford"
"756","Carabella"
"757","Casa Dumetz"
"758","Greenwood Ridge"
"759","Herencia"
"760","J. Scott Cellars"
"761","Chateau Dereszla"
"762","Quinta do Vallado"
"763","Roquette e Cazes"
"764","Vall Llach"
"765","Ceralti"
"766","Château Bel-Air Ortet"
"767","Château Ferrière"
"768","Fuentes"
"769","Fuse"
"770","I Luoghi"
"771","J Vineyards & Winery"
"772","Kokomo"
"773","Loup Blanc"
"774","Maritávora"
"775","Owen Roe"
"776","Pacific Ridge"
"777","Phoenix Ranch"
"778","2nd Chance"
"779","Bergevin Lane"
"780","Hungerford Hill"
"781","Jacopo Biondi-Santi"
"782","Le Buche"
"783","Leonesse Cellars"
"784","Market Vineyards"
"785","Marsiliana"
"786","Mazzei"
"787","Morlanda"
"788","Becker"
"789","Bex"
"790","Brennan"
"791","Casa de Vilacetinho"
"792","Cascina Bruciata"
"793","Antucura"
"794","Frédéric Brouca"
"795","Fullerton"
"796","Gotsa Family Wines"
"797","Graffigna"
"798","Coelho"
"799","Deltetto"
"800","Diego Conterno"
"801","Evans & Tate"
"802","Falua"
"803","Fiuza"
"804","Sidewood"
"805","Antonio Mas"
"806","Aveleda"
"807","Battaglio"
"808","Bella Grace"
"809","Bodega Calle"
"810","Borgogno F.lli Serio e Battista"
"811","Château les Petits Arnauds"
"812","Château Mougneaux"
"813","Château Saintongey"
"814","Château Ségonzac"
"815","Covila"
"816","Cuda Ridge Wines"
"817","Duménil"
"818","Ego Bodegas"
"819","Ektimo Vineyards"
"820","Finca del Marquesado"
"821","Folin Cellars"
"822","Francis Coppola"
"823","Frank Family"
"824","Real Companhia Velha"
"825","Santos & Seixo"
"826","Travaglini"
"827","Yorkville Cellars"
"828","Agustí Torelló Mata"
"829","Amalie Robert"
"830","Archgate Cellars"
"831","Bersano"
"832","Cantine di Marzo"
"833","Carica"
"834","Ignacio Marín"
"835","Château Cap Saint-Martin"
"836","Château de Bel"
"837","Vranken"
"838","Château Pavillon de Boyrein"
"839","Fabiano"
"840","Vinosia"
"841","Kono"
"842","Santa Ema"
"843","Morandé"
"844","One Hope"
"845","Pommery"
"846","Saddleback"
"847","Alexander Valley Vineyards"
"848","Covington"
"849","Kendall-Jackson"
"850","Ledgewood Creek"
"851","X"
"852","Château Lamothe-Vincent"
"853","Yvon Mau"
"854","Bellenda"
"855","Breggo"
"856","Byzantium"
"857","Pascual Toso"
"858","Quinta de la Rosa"
"859","Sieber Rd"
"860","Lachini"
"861","Mauro"
"862","Dancing Bull"
"863","Domaine de Mirail"
"864","Domaine des Terrisses"
"865","Fournier Père et Fils"
"866","Benanti"
"867","Caruso & Minini"
"868","The Four Graces"
"869","Arcane Cellars"
"870","Benton-Lane"
"871","Château Puy-Servain"
"872","Domaine Philippe Portier"
"873","Expression 44°"
"874","Nick Faldo"
"875","Tarapaca"
"876","Hunt Country Vineyards"
"877","Antichi Vinai 1877"
"878","Brecon Estate"
"879","Callaway"
"880","Casa di Grazia"
"881","Ruhlmann"
"882","Spring Mountain Vineyard"
"883","Stanton Vineyard"
"884","Cusumano"
"885","Dalton"
"886","Dragonette"
"887","Gaba do Xil"
"888","Gorka Izagirre"
"889","Grgich Hills"
"890","Linaje Garsea"
"891","Omaka Springs"
"892","Ventana"
"893","Vieil Armand"
"894","Vivera"
"895","WildAire"
"896","Mills Reef"
"897","Pazo Torrado"
"898","Sur de los Andes"
"899","Babich"
"900","Rentas de Fincas"
"901","Setzer"
"902","Tenuta Luisa"
"903","Honeywood Winery"
"904","I Clivi"
"905","Irony"
"906","Kedar's K'orus"
"907","Little Black Dress"
"908","Marqués de Vizhoja"
"909","Estancia"
"910","Finca La Emperatriz"
"911","Vinai dell'Abbate"
"912","Graf Hardegg"
"913","Botalcura"
"914","Bridgeway"
"915","Calatrasi"
"916","Château Bélingard"
"917","Clos Teddi"
"918","Colutta"
"919","Ormonde"
"920","Principe di Corleone"
"921","Sandeman"
"922","Scott Harvey"
"923","Sea Slopes"
"924","Trisaetum"
"925","Bergström"
"926","Mauro Veglio"
"927","Poças"
"928","Quinta do Vesuvio"
"929","Schild Estate"
"930","Shafer"
"931","Alphonse Mellot"
"932","Ascheri"
"933","Big Table Farm"
"934","Horsepower"
"935","Château de Parnay"
"936","Tres Sabores"
"937","Williams Selyem"
"938","Cayuse"
"939","Chappellet"
"940","Churchill's"
"941","Dion"
"942","Domaine Bernard Fleuriet et Fils"
"943","Drouhin Oregon Roserock"
"944","Santa Alicia"
"945","Rutherford Ranch"
"946","Weixelbaum"
"947","Landmark"
"948","Mercer"
"949","Michel Gassier"
"950","Nada Fiorenzo"
"951","Barrage Cellars"
"952","Bonny Doon"
"953","Casajús"
"954","Castellroig"
"955","Château d'Or et de Gueules"
"956","Citille di Sopra"
"957","Condado de Oriza"
"958","Cookies & Cream"
"959","Daou"
"960","Dei"
"961","Domaine de Gensac"
"962","Domaine Rolet Père et Fils"
"963","Domaine Rotier"
"964","Three Brothers"
"965","Wilridge"
"966","Belden Barns"
"967","Château du Retout"
"968","Château la Gravette Lacombe"
"969","Château Méric"
"970","In Re"
"971","Chasing Venus"
"972","Château les Joyeuses"
"973","Château Monfort Bellevue"
"974","Château Vrai Caillou"
"975","Concha y Toro"
"976","Experience"
"977","Cantine Grasso"
"978","Madrigal"
"979","Millbrook"
"980","Santa Rita"
"981","Scotto Family Cellars"
"982","Spicy Vines"
"983","Les Vignerons Réunis de Monségur"
"984","Nugnes"
"985","Château les Lattes"
"986","Ports of New York"
"987","Whitman Cellars"
"988","Winkler-Hermaden"
"989","Fire Block"
"990","Palivou"
"991","Felsner"
"992","Gemella"
"993","Tsantali"
"994","Bisol"
"995","Carmina"
"996","Carpenè Malvolti"
"997","Col Saliz"
"998","Ghost Pines"
"999","Wellington"
"1000","Zonin"
"1001","Lost River"
"1002","Toffoli"
"1003","Trapiche"
"1004","Louis Guntrum"
"1005","Pali"
"1006","Robert Stemmler"
"1007","Rutini"
"1008","Schloss Halbturn"
"1009","Zolo"
"1010","Bailly-Lapierre"
"1011","Balo"
"1012","Boasso"
"1013","Broccardo"
"1014","Casa Agricola Santos Jorge"
"1015","Cave des Vignerons de Buxy"
"1016","Chamlija"
"1017","Château de Fuissé"
"1018","Château de Santenay"
"1019","Chime"
"1020","Christophe Cordier"
"1021","Famille Laplace"
"1022","Finca Lalande"
"1023","Altos Las Hormigas"
"1024","Aubichon Cellars"
"1025","Ben Haines"
"1026","Blue Fish"
"1027","Bouchard Père & Fils"
"1028","Cambridge & Sunset"
"1029","Cascina Chicco"
"1030","Quinta da Foz"
"1031","Tamber Bey"
"1032","Tantara"
"1033","Westerly"
"1034","Aesthete"
"1035","Bacalhôa Wines of Portugal"
"1036","Barton"
"1037","Bava"
"1038","Bucci"
"1039","Central Coast Group Project"
"1040","Château Tour Grand Faurie"
"1041","Hecho por Ruben"
"1042","J. Portugal Ramos"
"1043","Judd's Hill"
"1044","Longboard"
"1045","Piro"
"1046","Point & Line"
"1047","Secret Spot Wines"
"1048","White Hart Wine"
"1049","Balletto"
"1050","Bien Nacido"
"1051","Bodega de Edgar"
"1052","Agricoltori del Chianti Geografico"
"1053","Barrière Frères"
"1054","Castellare di Castellina"
"1055","Château la Grande Barthe"
"1056","Danie de Wet"
"1057","Dr. Wehrheim"
"1058","Erba"
"1059","Mulderbosch"
"1060","Provenance Vineyards"
"1061","Rietvallei Estate Wine"
"1062","Sol Duc"
"1063","Horan Estates"
"1064","Lamole di Lamole"
"1065","Leo"
"1066","Villa Wolf"
"1067","Washington Hills"
"1068","Guardian Peak"
"1069","Cameron Hughes"
"1070","Caparzo"
"1071","Venta Morales"
"1072","Firriato"
"1073","Fondo Antico"
"1074","Hannah Nicole Vineyards"
"1075","Hosmer"
"1076","Ancient Oak Cellars"
"1077","Barkan"
"1078","Black Star Farms"
"1079","Cosentino"
"1080","Lusco"
"1081","Markham"
"1082","Michael David"
"1083","Maggiovini"
"1084","La Merika"
"1085","Masseria del Feudo Grottarossa"
"1086","Napa Family Vineyards"
"1087","Petroni"
"1088","Resonata"
"1089","Bodegas Fontana"
"1090","Bodegas Peñafiel"
"1091","Brotherhood"
"1092","Cave de Lugny"
"1093","Dashwood"
"1094","Feudi di San Gregorio"
"1095","Ghost Waltz"
"1096","Griesbauerhof"
"1097","Gustav Adolf Schmitt"
"1098","Cantina Produttori San Michele Appiano"
"1099","Cembra"
"1100","Cliff Lede"
"1101","Clos Figueras"
"1102","Consilience"
"1103","Domaines Landron"
"1104","Cave du Vin Blanc de Morgex et de la Salle"
"1105","Cedar Creek"
"1106","Colterenzio"
"1107","Demetria"
"1108","Domaine de l'Ermitage"
"1109","Domaine de Rome"
"1110","Domdechant Werner"
"1111","Dr. Fischer"
"1112","Osborne"
"1113","Pinord"
"1114","Quintas de Melgaço"
"1115","Rosenblum"
"1116","Summers"
"1117","Tiefenbrunner"
"1118","Tramin"
"1119","Vesevo"
"1120","Viszlay Vineyards"
"1121","Yealands"
"1122","Zahel"
"1123","Albet I Noya"
"1124","Allram"
"1125","Alta Alella"
"1126","Ampelos"
"1127","Ascencion"
"1128","Baigorri"
"1129","Challen"
"1130","Château Coutinel"
"1131","Château Grand Boise"
"1132","Château le Payral"
"1133","Clos Fardet"
"1134","Crux"
"1135","Damiani"
"1136","Di Meo"
"1137","Domaine Clos Gautier"
"1138","Domaine Harmonie des Arpents"
"1139","Domäne Wachau"
"1140","Doren"
"1141","Écluse"
"1142","Grizzly Peak"
"1143","Villa Mottura"
"1144","14 Hands"
"1145","Barraco"
"1146","Capolino Perlingieri"
"1147","Château Bois Noir"
"1148","Château du Moulin Rouge"
"1149","Chateau le Grand Verdus"
"1150","Dark Hundred"
"1151","Flying Trout"
"1152","Horeau-Beylot"
"1153","Bodegas Artazu"
"1154","Burgo Viejo"
"1155","Toad Hollow"
"1156","Penumbra"
"1157","Tablas Creek"
"1158","Torre Quarto"
"1159","Château de Ferrand"
"1160","Saint André de Figuière"
"1161","Gainey"
"1162","Banear"
