"","variety","winery","region_1","region_2","province","designation","country"
"54","Malbec","Mellisoni","Columbia Valley (WA)","Columbia Valley","Washington","","US"
"55","Cabernet Sauvignon","Okapi","Napa Valley","Napa","California","Estate","US"
"56","Sangiovese","Podere dal Nespoli","Romagna","","Central Italy","Prugneto","Italy"
"57","Cabernet Franc","Ram","Columbia Valley (WA)","Columbia Valley","Washington","Alder Ridge Vineyard","US"
"58","Champagne Blend","Roland Champion","Champagne","","Champagne","Brut Rosé","France"
"59","Sauvignon Blanc","Sevtap","Santa Ynez Valley","Central Coast","California","Golden Horn","US"
"60","Chardonnay","Simonnet-Febvre","Chablis","","Burgundy","","France"
"61","Chardonnay","Vignerons des Terres Secrètes","Mâcon-Milly Lamartine","","Burgundy","","France"
"62","Bordeaux-style Red Blend","Basel Cellars","Columbia Valley (WA)","Columbia Valley","Washington","Inspired","US"
"63","Red Blend","Cocobon","California","California Other","California","","US"
"64","Champagne Blend","Collet","Champagne","","Champagne","Brut Rosé","France"
"65","Chardonnay","Drumheller","Columbia Valley (WA)","Columbia Valley","Washington","","US"
"66","Cabernet Sauvignon","Eco Terreno","Alexander Valley","Sonoma","California","Old Vine","US"
"67","Aglianico","Grifalco","Aglianico del Vulture","","Southern Italy","Daginestra","Italy"
"68","Cabernet Sauvignon","Hindsight","Howell Mountain","Napa","California","Bella Vetta Vineyard","US"
"69","Bordeaux-style Red Blend","Mulvane Wine Co.","Napa Valley","Napa","California","The Cypher","US"
"70","Riesling","Schmitt Söhne","","","Rheinhessen","","Germany"
"71","Chardonnay","Yalumba","South Australia","","South Australia","Made With Organic Grapes","Australia"
"72","Pinot Noir","Z'IVO","Eola-Amity Hills","Willamette Valley","Oregon","Rosé of","US"
"73","Touriga Nacional","Adega Cooperativa do Cartaxo","","","Tejo","Bridão","Portugal"
"74","Carmenère","Aresti","","","Rapel Valley","Special Release Reserva","Chile"
"75","Albariño","Spyro","Rías Baixas","","Galicia","","Spain"
"76","Petit Manseng","Lionel Osmin & Cie","Vin de France","","France Other","La Réserve","France"
"77","Rosé","Mitolo","McLaren Vale","","South Australia","Jester Sangiovese","Australia"
"78","Zinfandel","Napa Cellars","Napa Valley","Napa","California","Classic","US"
"79","Riesling","P.J. Valckenberg","","","Rheinhessen","Undone Dry","Germany"
"80","Albariño","Palencia","Ancient Lakes","Columbia Valley","Washington","","US"
"81","Merlot","Passaggio","Knights Valley","Sonoma","California","Blau Vineyards","US"
"82","Vernaccia","Poggio Alloro","Vernaccia di San Gimignano","","Tuscany","Le Mandorle Riserva","Italy"
"83","Rosato","Fattoria Sardi","Toscana","","Tuscany","","Italy"
"84","Red Blend","Ferrari-Carano","Sonoma County","Sonoma","California","Siena","US"
"85","Pinot Gris","Folie à Deux","Sonoma Coast","Sonoma","California","","US"
"86","Meritage","Franciscan","Napa Valley","Napa","California","Magnificat","US"
"87","Grüner Veltliner","Fuchs","","","Burgenland","","Austria"
"88","Viognier","Gård","Columbia Valley (WA)","Columbia Valley","Washington","Grand Klasse Reserve Lawrence Vineyards","US"
"89","Riesling","Heron Hill","Finger Lakes","Finger Lakes","New York","Ingle Vineyard","US"
"90","Sangiovese","Serpaia di Endrizzi","Morellino di Scansano","","Tuscany","Dono Riserva","Italy"
"91","Bordeaux-style Red Blend","Soquel Vineyards","Napa Valley","Napa","California","Intreccio Library Selection","US"
"92","Pinot Gris","Ventosa","Finger Lakes","Finger Lakes","New York","","US"
"93","Riesling","Lamoreaux Landing","Finger Lakes","Finger Lakes","New York","Red Oak Vineyard","US"
"94","Chardonnay","Leyda","","","Leyda Valley","Single Vineyard Falaris Hill","Chile"
"95","Red Blend","Madonna Alta","Toscana","","Tuscany","Nativo","Italy"
"96","White Blend","Marchesi Antinori","Toscana","","Tuscany","Villa Antinori","Italy"
"97","Red Blend","Marchesi de' Frescobaldi","Toscana","","Tuscany","Castiglioni","Italy"
"98","Zinfandel","Martin Ranch","Santa Clara Valley","Central Coast","California","J.D. Hurley","US"
"99","Red Blend","Ornellaia","Toscana","","Tuscany","Le Volte","Italy"
"100","Gamay","Pardon et Fils","Brouilly","","Beaujolais","Les Quartelets","France"
"101","Cabernet Sauvignon","Piña","Yountville","Napa","California","Wolff Vineyard","US"
"102","Red Blend","Podere Ciona","Toscana","","Tuscany","Semifonte","Italy"
"103","White Blend","Poggioventoso","Toscana","","Tuscany","Poetico","Italy"
"104","Bordeaux-style Red Blend","Pull","Paso Robles","Central Coast","California","BDX","US"
"105","Grenache Blanc","R2","Santa Ynez Valley","Central Coast","California","Camp 4 Vineyard","US"
"106","Syrah","Rideau","Central Coast","","California","Estate","US"
"107","Red Blend","Tenuta Forconi","Toscana","","Tuscany","Toscano","Italy"
"108","Riesling","Dopff & Irion","Alsace","","Alsace","Schoenenbourg Grand Cru Vendanges Tardives","France"
"109","Nebbiolo","Ceretto","Barolo","","Piedmont","Bricco Rocche Prapó","Italy"
"110","Chardonnay","Matrix","Alexander Valley","Sonoma","California","Stuhlmuller Vineyard","US"
"111","Zinfandel","Mauritson","Rockpile","Sonoma","California","Rockpile Cemetary Vineyard","US"
"112","Shiraz-Cabernet Sauvignon","Henry's Drive Vignerons","Padthaway","","South Australia","Parson's Flat","Australia"
"113","Cabernet Sauvignon","Silverado","Napa Valley","Napa","California","","US"
"114","Cabernet Sauvignon","Le Riche","","","Stellenbosch","Cabernet Sauvignon Reserve","South Africa"
"115","Gewürztraminer","Pierre Sparr","Alsace","","Alsace","Vendages Tardives","France"
"116","Pinot Blanc","Kuentz-Bas","Alsace","","Alsace","","France"
"117","Bordeaux-style Red Blend","Camberley","","","Stellenbosch","Philosophers' Stone","South Africa"
"118","Cabernet Sauvignon","Delheim","","","Simonsberg-Stellenbosch","Grand Reserve","South Africa"
"119","Nebbiolo","Poderi Luigi Einaudi","Barolo","","Piedmont","","Italy"
"120","Cabernet Sauvignon","Clark-Clauden","Napa Valley","Napa","California","","US"
"121","Nebbiolo","Giacomo Ascheri","Barolo","","Piedmont","Sorano","Italy"
"122","Bordeaux-style Red Blend","Lassègue","Saint-Émilion","","Bordeaux","","France"
"123","Chenin Blanc","Beaumont","","","Walker Bay","Hope Marguerite","South Africa"
"124","Barbera","Poderi Colla","Barbera d'Alba","","Piedmont","Costa Bruna","Italy"
"125","Riesling","Banyan","Santa Lucia Highlands","Central Coast","California","","US"
"126","Pinot Gris","Domaine Zind-Humbrecht","Alsace","","Alsace","Hunawihr Clos Windsbuhl","France"
"127","Cabernet Sauvignon","Terra Valentine","Spring Mountain District","Napa","California","K Block","US"
"128","Pinot Noir","Testarossa","Santa Lucia Highlands","Central Coast","California","Guidotti Vineyard","US"
"129","Cabernet Sauvignon","Vincent Vineyards","Santa Ynez Valley","Central Coast","California","Family Reserve","US"
"130","Riesling","Weingut Liebfrauenstift","","","Rheinhessen","Dry","Germany"
"131","Rhône-style Red Blend","Wrath","Monterey","Central Coast","California","Destruction Level","US"
"132","Cabernet Sauvignon","Yardstick","Napa Valley","Napa","California","Ruth's Reach","US"
"133","Portuguese White","Herdade Grande","","","Alentejano","Gerações Colheita Seleccionada Branco","Portugal"
"134","Pinot Noir","Albatross Ridge","Carmel Valley","Central Coast","California","Estate Reserve","US"
"135","Syrah","Alta Colina","Paso Robles","Central Coast","California","Old 900","US"
"136","Graciano","Marques de Griñon","Dominio de Valdepusa","","Central Spain","Single Vineyard Estate Bottled","Spain"
"137","Syrah","Big Basin","Santa Cruz Mountains","Central Coast","California","","US"
"138","Riesling","Carl Graff","","","Mosel","Graacher Himmelreich Spätlese","Germany"
"139","Portuguese Red","Casa Santa Vitória","","","Alentejano","Grande Reserva Tinto","Portugal"
"140","Sangiovese","Castello di Gabbiano","Chianti Classico","","Tuscany","Bellezza Gran Selezione","Italy"
"141","Sangiovese","Castello Romitorio","Brunello di Montalcino","","Tuscany","Filo di Seta","Italy"
"142","Malbec","Château Vincens","Cahors","","Southwest France","","France"
"143","Red Blend","Chronic Cellars","Paso Robles","Central Coast","California","Mr. Nibbles","US"
"144","Riesling","Claiborne & Churchill","Edna Valley","Central Coast","California","Claiborne Vineyard","US"
"145","Gamay","Collin-Bourisset","Moulin-à-Vent","","Beaujolais","Hospices Civils de Romanèche Thurins","France"
"146","Red Blend","Conde de Velázquez","","","Aconcagua Valley","Condesa Real Premium Blend","Chile"
"147","Cabernet Sauvignon","Cono Sur","","","Maipo Valley","20 Barrels","Chile"
"148","Tannat-Cabernet","Domaine Berthoumieu","Madiran","","Southwest France","Charles de Batz","France"
"149","Cabernet Franc","Dracaena","Paso Robles","Central Coast","California","","US"
"150","Merlot","Duckhorn","Napa Valley","Napa","California","Rector Creek Vineyard","US"
"151","Pinot Noir","Dutton-Goldfield","Russian River Valley","Sonoma","California","Dutton Ranch","US"
"152","Riesling","Fritz Haag","","","Mosel","Brauneberger Feinherb","Germany"
"153","Cabernet Sauvignon","G7","","","Loncomilla Valley","The 7th Generation Gran Reserva Estate Bottled","Chile"
"154","Pinot Noir","Le Cadeau","Willamette Valley","Willamette Valley","Oregon","","US"
"155","Sauvignon Blanc","Stoneleigh","","","Marlborough","","New Zealand"
"156","Sauvignon","Tenuta Peter Sölva & Söhne","Alto Adige","","Northeastern Italy","De Silva","Italy"
"157","Red Blend","TerraMater","","","Maipo Valley","Unusual Cabernet-Shiraz-Zinfandel","Chile"
"158","Sangiovese","Isole e Olena","Chianti Classico","","Tuscany","","Italy"
"159","Syrah","Kenwood","Sonoma Valley","Sonoma","California","Jack London Vineyard","US"
"160","Chardonnay","La Chablisienne","Chablis","","Burgundy","Les Vénérables Vieilles Vignes","France"
"161","Chardonnay","Manzoni","Santa Lucia Highlands","Central Coast","California","Lucia Highland Vineyard","US"
"162","Pinot Noir","McIntyre Vineyards","Arroyo Seco","Central Coast","California","Mission Ranch","US"
"163","Sangiovese Grosso","Abbadia Ardenga","Brunello di Montalcino","","Tuscany","M. Vigna","Italy"
"164","Torrontés","Alamos","Salta","","Other","","Argentina"
"165","Chardonnay","Anaba","Sonoma Coast","Sonoma","California","","US"
"166","Carmenère","Apaltagua","","","Colchagua Valley","Envero Gran Reserva","Chile"
"167","Pinot Noir","Harrington","Anderson Valley","","California","Wiley Vineyard","US"
"168","Red Blend","Abbazia Santa Anastasia","Sicilia","","Sicily & Sardinia","Montenero","Italy"
"169","Merlot","Viña Bisquertt","","","Colchagua Valley","Casa La Joya Reserve","Chile"
"170","Chardonnay","Emiliana","","","Casablanca Valley","Natura","Chile"
"171","Red Blend","Fattoria Alois","Campania","","Southern Italy","Campole","Italy"
"172","Red Blend","Aldegheri","Rosso del Veronese","","Veneto","Le Pietre Santambrogio","Italy"
"173","Chardonnay","Bertrand Ambroise","St.-Romain","","Burgundy","","France"
"174","Sangiovese","Campomaggio","Chianti Classico","","Tuscany","","Italy"
"175","Prugnolo Gentile","Carpineto","Vino Nobile di Montepulciano","","Tuscany","Riserva","Italy"
"176","Vernaccia","Cesani","Vernaccia di San Gimignano","","Tuscany","Pancole","Italy"
"177","Chenin Blanc","Spier","","","Western Cape","21 Gables","South Africa"
"178","Cabernet Sauvignon","Sequum","Napa Valley","Napa","California","Four Soil Mélange","US"
"179","Cabernet Franc","Sierra Starr","Nevada County","Sierra Foothills","California","Rising Starr Estate Bottled","US"
"180","Sangiovese","Tenuta di Sesta","Brunello di Montalcino","","Tuscany","Riserva","Italy"
"181","White Blend","Terlan","Alto Adige","","Northeastern Italy","Nova Domus Riserva","Italy"
"182","Syrah","Yatir","","","Judean Hills","","Israel"
"183","Portuguese Red","Adega Cooperativa de Borba","","","Alentejo","Montes Claros Garrafeira","Portugal"
"184","G-S-M","J. Lohr","Paso Robles","Central Coast","California","Gesture","US"
"185","Cabernet Sauvignon","Courtney Benham","Napa Valley","Napa","California","","US"
"186","Zinfandel","Del Carlo Winery","Dry Creek Valley","Sonoma","California","Home Ranch Teldeschi Vineyards Century Old Vine","US"
"187","White Blend","Delaire Graff","","","Coastal Region","Reserve","South Africa"
"188","Rhône-style Red Blend","Domaine St Pierre","Côtes du Rhône","","Rhône Valley","","France"
"189","Chardonnay","Eikendal","","","Western Cape","","South Africa"
"190","Rhône-style Red Blend","Famille Perrin","Vacqueyras","","Rhône Valley","Les Christins","France"
"191","Verdejo","Matarromera","Rueda","","Northern Spain","Fermentado en Barrica","Spain"
"192","Red Blend","MCV","Paso Robles","Central Coast","California","1105","US"
"193","Rhône-style Red Blend","Mounts","Dry Creek Valley","Sonoma","California","Verah","US"
"194","Bordeaux-style Red Blend","Or Haganuz","","","Galilee","French Blend","Israel"
"195","Sangiovese","Podere Scopetone","Brunello di Montalcino","","Tuscany","","Italy"
"196","Portuguese Red","Quinta de Foz de Arouce","","","Beira Atlantico","","Portugal"
"197","Fumé Blanc","Robert Mondavi","Napa Valley","Napa","California","","US"
"198","Furmint","Samuel Tinon","","","Tokaj","Megyer Dry","Hungary"
"199","Chardonnay","Sixteen by Twenty","Sonoma Coast","Sonoma","California","","US"
"200","Pinot Bianco","St. Pauls","Alto Adige","","Northeastern Italy","Passion Riserva","Italy"
"201","Sangiovese","Talenti","Brunello di Montalcino","","Tuscany","Trentennale","Italy"
"202","Malbec","Mendel","Luján de Cuyo","","Mendoza Province","Lunta","Argentina"
"203","Chardonnay","Oldenburg","","","Stellenbosch","","South Africa"
"204","Pinot Noir","Wagner","Finger Lakes","Finger Lakes","New York","Grace House","US"
"205","Riesling","Treleaven","Cayuga Lake","Finger Lakes","New York","Semi-Dry","US"
"206","Red Blend","Benessere","Napa Valley","Napa","California","Costa Del Sol","US"
"207","Gewürztraminer","Bloomer Creek","Finger Lakes","Finger Lakes","New York","","US"
"208","Bonarda","Andean Sky","Mendoza","","Mendoza Province","","Argentina"
"209","Shiraz","Angove's","South Australia","","South Australia","Red Belly Black","Australia"
"210","Pinot Noir","Silvan Ridge","Willamette Valley","Willamette Valley","Oregon","Reserve","US"
"211","Montepulciano","Talamonti","Montepulciano d'Abruzzo","","Central Italy","Cerasuolo Rosè","Italy"
"212","Cabernet Sauvignon","Meeker","Diamond Mountain District","Napa","California","Kiss Ridge Vineyard","US"
"213","Moscato","Consorzio Vini Tipici di San Marino","San Marino","","Central Italy","","Italy"
"214","Grenache","D'Arenberg","McLaren Vale","","South Australia","The Derelict Vineyard","Australia"
"215","Cabernet Sauvignon","Dogwood","Mendocino","","California","","US"
"216","Ugni Blanc-Colombard","Domaine du Tariquet","Vin de Pays des Côtes de Gascogne","","Southwest France","","France"
"217","Sangiovese","Falcor","Napa Valley","Napa","California","","US"
"218","Chardonnay","Hayman & Hill","Russian River Valley","Sonoma","California","Reserve Selection","US"
"219","Chardonnay","Hermann J. Wiemer","Finger Lakes","Finger Lakes","New York","Blanc de Blanc","US"
"220","Red Blend","J. & F. Lurton","Vino de la Tierra de Castilla y León","","Northern Spain","Herederos de François Lurton Villafrance de Duero","Spain"
"221","Chardonnay","Finca Las Moras","San Juan","","Other","Reserve","Argentina"
"222","Sauvignon Blanc","Long Flat","Adelaide Hills","","South Australia","Destinations","Australia"
"223","Merlot","Work","Sonoma Mountain","Sonoma","California","Reserve","US"
"224","Pinot Noir","Amity","Willamette Valley","Willamette Valley","Oregon","Estate Single Vineyard","US"
"225","Bordeaux-style Red Blend","Autumn Hill","Monticello","","Virginia","Petit Verdot-Merlot","US"
"226","Cabernet Sauvignon","Blue Rock","Alexander Valley","Sonoma","California","Estate","US"
"227","Pinot Noir","Cherry Hill","Willamette Valley","Willamette Valley","Oregon","Papillon Estate","US"
"228","Zinfandel","Cloud 9","Amador County","Sierra Foothills","California","Seity","US"
"229","Malbec","Cueva de las Manos","Luján de Cuyo","","Mendoza Province","Reserve","Argentina"
"230","Petite Sirah","David Fulton","St. Helena","Napa","California","","US"
"231","Pinot Noir","Esterlina","Cole Ranch","","California","Reserva","US"
"232","Syrah-Viognier","Goats do Roam Wine Co.","","","Coastal Region","Goat-Roti","South Africa"
"233","Red Blend","Graham Beck","","","Coastal Region","The William","South Africa"
"234","Cabernet Sauvignon","Hartenberg","","","Stellenbosch","","South Africa"
"235","Malbec","Vignobles 46N118","Cahors","","Southwest France","Noir 46","France"
"236","Pinot Noir","Willamette Valley Vineyards","Willamette Valley","Willamette Valley","Oregon","Estate","US"
"237","Red Blend","Algodon","","","Mendoza Province","Estate Blend Gran Reserva","Argentina"
"238","Red Blend","Beaver Creek","Napa Valley","Napa","California","Fairytale","US"
"239","Pinot Noir","Byron","Santa Maria Valley","Central Coast","California","Monument","US"
"240","Syrah","Jardin","","","Stellenbosch","","South Africa"
"241","Red Blend","Kaiken","Mendoza","","Mendoza Province","Corte Malbec-Bonarda-Petit Verdot","Argentina"
"242","White Blend","Lungarotti","Torgiano","","Central Italy","Torre di Giano Vigna il Pino","Italy"
"243","White Blend","Marchesi Fumanelli","Veneto","","Veneto","Terso","Italy"
"244","Blaufränkisch","Mariell","","","Leithaberg","","Austria"
"245","Friulano","Livio Felluga","Colli Orientali del Friuli","","Northeastern Italy","","Italy"
"246","Assyrtico","My Big Fat Greek Wine","","","Santorini","","Greece"
"247","Pinot Bianco","Nals Margreid","Alto Adige","","Northeastern Italy","Sirmian","Italy"
"248","Red Blend","O. Fournier","Uco Valley","","Mendoza Province","B Crux","Argentina"
"249","White Blend","Pico Maccario","Monferrato","","Piedmont","Estrosa","Italy"
"250","Cabernet Sauvignon","Sottano","Mendoza","","Mendoza Province","Reserva de Familia","Argentina"
"251","Zinfandel","St. Francis","Sonoma County","Sonoma","California","Old Vines","US"
"252","Cabernet Sauvignon","Trailhead","Napa Valley","Napa","California","","US"
"253","Sauvignon","Franz Haas","Alto Adige","","Northeastern Italy","","Italy"
"254","Grüner Veltliner","Forstreiter","","","Kremstal","Schiefer Reserve","Austria"
"255","Pinot Noir","Cambria","Santa Maria Valley","Central Coast","California","Bench Break Vineyard","US"
"256","Red Blend","I Giusti e Zanza","Toscana","","Tuscany","Dulcamara","Italy"
"257","Pinot Noir","J. Christopher","Dundee Hills","Willamette Valley","Oregon","Bella Vida Vineyard Unfiltered","US"
"258","Malbec","Viña Cobos","Perdriel","","Mendoza Province","Marchiori Vineyard Block C2","Argentina"
"259","Riesling","Salomon-Undhof","","","Kremstal","Steiner Kögl Erste Lage","Austria"
"260","Pinot Noir","Talley","Arroyo Grande Valley","Central Coast","California","Rincon Vineyard","US"
"261","Carignan-Grenache","Acústic","Montsant","","Catalonia","Braó Vinyes Velles","Spain"
"262","Grüner Veltliner","Josef Schmid","","","Kremstal","Kremser Gebling Erste Lage","Austria"
"263","Cabernet Sauvignon","Parallel","Napa Valley","Napa","California","Fortune Teller","US"
"264","Bordeaux-style Red Blend","Château Lafon-Rochet","Saint-Estèphe","","Bordeaux","","France"
"265","Sagrantino","Dionigi","Sagrantino di Montefalco","","Central Italy","","Italy"
"266","Savagnin","Domaine Daniel Dugois","Arbois","","France Other","Vin Jaune","France"
"267","Shiraz","Kilikanoon","Barossa Valley","","South Australia","Green's Vineyard","Australia"
"268","Malbec","Finca Sophenia","Tupungato","","Mendoza Province","Synthesis","Argentina"
"269","Cabernet Sauvignon-Syrah","Treana","Paso Robles","Central Coast","California","Treana Red","US"
"270","Cabernet Sauvignon","Ventisquero","","","Maipo Valley","Grey [Glacier] Single Block Trinidad Vineyard","Chile"
"271","Cabernet Sauvignon","Aquinas","Napa Valley","Napa","California","","US"
"272","Cabernet Sauvignon","Arboleda","","","Aconcagua Valley","","Chile"
"273","Red Blend","Attilio Ghisolfi","Langhe","","Piedmont","Pinay","Italy"
"274","Chardonnay","Buried Cane","Columbia Valley (WA)","Columbia Valley","Washington","Whiteline No Oak","US"
"275","Nebbiolo","Cantina del Nebbiolo","Roero","","Piedmont","","Italy"
"276","Nebbiolo","Cascina Adelaide","Barolo","","Piedmont","4 Vigne","Italy"
"277","Barbera","Cascina La Ghersa","Barbera d'Asti Superiore Nizza","","Piedmont","Vignassa","Italy"
"278","Zinfandel","Claudia Springs","Mendocino County","","California","","US"
"279","Chardonnay","Cramele Recas","","","Recas","","Romania"
"280","Pinot Noir","Domaine Bertagna","Côte de Nuits-Villages","","Burgundy","Les Dames Huguettes","France"
"281","White Blend","Domaine Sigalas","","","Santorini","Asirtiko Athiri","Greece"
"282","Nebbiolo","Socré","Langhe","","Piedmont","","Italy"
"283","Nebbiolo","Boffa","Langhe","","Piedmont","","Italy"
"284","Syrah","Otto's Constant Dream","","","Hawke's Bay","","New Zealand"
"285","Cabernet Sauvignon","Mount Veeder","Napa Valley","Napa","California","","US"
"286","Nebbiolo","Rabino","Roero","","Piedmont","","Italy"
"287","Prosecco","Bellussi","Prosecco di Valdobbiadene","","Veneto","Extra Dry","Italy"
"288","Bordeaux-style White Blend","Château Mont-Pérat","Bordeaux Blanc","","Bordeaux","Les Amants Mont-Pérat","France"
"289","Bordeaux-style White Blend","Château Tour de Mirambeau","Bordeaux Blanc","","Bordeaux","","France"
"290","Prosecco","Paladin","Veneto","","Veneto","Millesimato Brut","Italy"
"291","Prosecco","Perlage","Prosecco di Valdobbiadene","","Veneto","Col di Manza Extra Dry Millesimato","Italy"
"292","Prosecco","Sant Eurosia","Prosecco di Valdobbiadene","","Veneto","Brut","Italy"
"293","Prosecco","L'Antica Quercia","Prosecco di Conegliano","","Veneto","Matiú Brut","Italy"
"294","Vignoles","Lucas Vineyards","Finger Lakes","Finger Lakes","New York","","US"
"295","Prosecco","Marsuret","Prosecco di Valdobbiadene","","Veneto","Extra Dry","Italy"
"296","Chardonnay","De Martino","","","Limarí Valley","Legado Reserva","Chile"
"297","White Blend","Beringer","Knights Valley","Sonoma","California","Alluvium Blanc","US"
"298","Zinfandel","Brutocao","Mendocino","","California","Reserve","US"
"299","Red Blend","Clos La Chance","Central Coast","Central Coast","California","Lila's Cuvée","US"
"300","Prosecco","Sommariva","Prosecco di Conegliano","","Veneto","Palazzo Rosso Brut","Italy"
"301","Prosecco","Spagnol","Prosecco di Valdobbiadene","","Veneto","Col del Sas Extra Dry","Italy"
"302","Champagne Blend","Jacquart","Champagne","","Champagne","Mosaïque Rosé Brut","France"
"303","Pinot Noir","Koyle","","","Colchagua Costa","Costa","Chile"
"304","Rosé","Château Notre Dame du Quatourze","Languedoc","","Languedoc-Roussillon","","France"
"305","Rosé","Mémoires","Coteaux Varois en Provence","","Provence","","France"
"306","Sparkling Blend","Cavas Hill","Cava","","Catalonia","1887 Rosado","Spain"
"307","Pinot Gris","Antoine Moltès & Fils","Alsace","","Alsace","Tradition","France"
"308","Zinfandel","Pezzi King","Dry Creek Valley","Sonoma","California","Serracino Reserve","US"
"309","Sparkling Blend","Bellisco","Cava","","Catalonia","","Spain"
"310","Pinot Noir","Pura 8","","","Rapel Valley","Grand Reserve","Chile"
"311","Chardonnay","Viña Tarapacá","","","Leyda Valley","Gran Reserva","Chile"
"312","Muscat","Chambers Rosewood Vineyards","Rutherglen","","Victoria","Rare","Australia"
"313","Riesling","Robert Weil","","","Rheingau","Kiedrich Gräfenberg Trockenbeerenauslese","Germany"
"314","Shiraz-Viognier","Torbreck","Barossa","","South Australia","RunRig","Australia"
