"","x"
"233","Trento"
"234","Médoc"
"235","Haut-Médoc"
"236","Fronsac"
"237","Margaux"
"238","Mornington Peninsula"
"239","Verdicchio dei Castelli di Jesi Classico"
"240","Vino de la Tierra de Castilla"
"241","Mendocino Ridge"
"242","Rosso di Montalcino"
"243","Côtes de Gascogne"
"244","Côtes du Lot"
"245","Nebbiolo d'Alba"
"246","Beaujolais Rosé"
"247","Marsannay"
"248","Gevrey-Chambertin"
"249","Beaune"
"250","Sannio"
"251","Priorat"
"252","Bolgheri Superiore"
"253","Minervois"
"254","Texas High Plains"
"255","Vista Flores"
"256","Australia"
"257","Shenandoah Valley (CA)"
"258","Blaye Côtes de Bordeaux"
"259","Jumilla"
"260","Coste della Sesia"
"261","Yorkville Highlands"
"262","Penedès"
"263","Greco di Tufo"
"264","Lugana"
"265","Primitivo di Manduria"
"266","Bardolino Classico"
"267","Amarone della Valpolicella Classico"
"268","Piave"
"269","Gaillac"
"270","Sancerre"
"271","Montravel"
"272","Quincy"
"273","Pouilly-Fumé"
"274","Coonawarra"
"275","Happy Canyon of Santa Barbara"
"276","Valdeorras"
"277","Bizkaiko Txakolina"
"278","Walla Walla Valley (OR)"
"279","Isonzo del Friuli"
"280","Vin de Pays d'Oc"
"281","Delle Venezie"
"282","Monbazillac"
"283","Patrimonio"
"284","Saumur-Champigny"
"285","Rosso di Montepulciano"
"286","Gers"
"287","Crémant de Jura"
"288","Vin de Liqueur"
"289","Seneca Lake"
"290","Naches Heights"
"291","Basilicata"
"292","Hudson River Region"
"293","Napa-Sonoma"
"294","Crémant de Bourgogne"
"295","Pouilly-Fuissé"
"296","Goulburn Valley"
"297","Bennett Valley"
"298","Paso Robles Willow Creek District"
"299","Montagne-Saint-Émilion"
"300","La Mancha"
"301","Contra Costa County"
"302","Michigan"
"303","Uclés"
"304","Stags Leap District"
"305","Valle d'Aosta"
"306","Fair Play"
"307","Menetou-Salon"
"308","Jerez"
"309","Fronton"
"310","Bergerac"
"311","Salento"
"312","Bordeaux Rosé"
"313","Pennsylvania"
"314","Les Baux de Provence"
"315","Southern Oregon"
"316","Old Mission Peninsula"
"317","Alto Adige Terlano"
"318","Dunnigan Hills"
"319","Bandol"
"320","Coombsville"
"321","Châteauneuf-du-Pape"
"322","Nuits-St.-Georges"
"323","Vigneti delle Dolomiti"
"324","Montefalco Rosso"
"325","Umbria"
"326","Faro"
"327","Chénas"
"328","Jurançon"
"329","Saumur"
"330","Alella"
"331","Bardolino Chiaretto"
"332","Murgia"
"333","Bolgheri Sassicaia"
"334","Pessac-Léognan"
"335","Saint-Julien"
"336","Pauillac"
"337","Oakville"
"338","Lalande de Pomerol"
"339","Delia Nivolelli"
"340","Cadillac Côtes de Bordeaux"
"341","Maipú"
"342","Touraine"
"343","Middleburg"
"344","Reuilly"
"345","Gattinara"
"346","Margaret River"
"347","Patagonia"
"348","Entre-Deux-Mers"
"349","Applegate Valley"
"350","Hermitage"
"351","Maremma"
"352","San Benito County"
"353","Catalunya"
"354","Ribeiro"
"355","Sauternes"
"356","San Luis Obispo County"
"357","Bolgheri"
"358","Alicante"
"359","Vin de Savoie"
"360","Almansa"
"361","Castillon Côtes de Bordeaux"
"362","Mediterranée"
"363","Francs Côtes de Bordeaux"
"364","Chiroubles"
"365","Saint-Amour"
"366","Ribeira Sacra"
"367","Leelanau Peninsula"
"368","Getariako Txakolina"
"369","Calatayud"
"370","Outer Coastal Plain"
"371","Coteaux du Languedoc"
"372","Sonoma-Napa"
"373","Langhorne Creek"
"374","Falerno del Massico"
"375","Fiano di Avellino"
"376","Vi de la Terra Illes Balears"
"377","Santa Barbara"
"378","Côtes de Bourg"
"379","Barbera d'Asti Superiore"
"380","Saint-Georges-Saint-Émilion"
"381","Vermentino di Sardegna"
"382","Bergerac Sec"
"383","Morgon"
"384","Virginia's Eastern Shore"
"385","Colli Trevigiani"
"386","Columbia Valley (OR)"
"387","Listrac-Médoc"
"388","Lussac Saint-Émilion"
"389","Barbera d'Asti"
"390","Tavel"
"391","Barbera d'Alba Superiore"
"392","Recioto di Soave"
"393","Santenay"
"394","Puligny-Montrachet"
"395","Ruché di Castagnole Monferrato"
"396","Valtellina Superiore"
"397","Oltrepò Pavese"
"398","Red Hills Lake County"
"399","Toro"
"400","Moulis-en-Médoc"
"401","Pemberton"
"402","Rosé de Loire"
"403","Côtes de Bordeaux"
"404","Vin Mousseux"
"405","South Coast"
"406","Yecla"
"407","Lake Erie"
"408","Potter Valley"
"409","Sonoma County-Napa County"
"410","Givry"
"411","Buzet"
"412","Valpolicella Classico Superiore Ripasso"
"413","Corse"
"414","Muscadet Côtes de Grandlieu"
"415","Terra degli Osci"
"416","Lambrusco di Modena"
"417","Montefalco Sagrantino"
"418","Lazio"
"419","Chalk Hill"
"420","Marche"
"421","Cerasuolo di Vittoria Classico"
"422","Frankland River"
"423","Geographe"
"424","Western Australia"
"425","Niagara Peninsula"
"426","Molise"
"427","New Jersey"
"428","Maury Sec"
"429","Côtes du Roussillon Villages Caramany"
"430","Irrouléguy"
"431","Redwood Valley"
"432","Friuli Aquileia"
"433","Ile de Beauté"
"434","Cucamonga Valley"
"435","Pays d'Oc"
"436","Gard"
"437","Chianti"
"438","Chianti Montespertoli"
"439","Chianti Colli Senesi"
"440","Bordeaux Clairet"
"441","Fleurie"
"442","Anjou Villages Brissac"
"443","Fiddletown"
"444","Bonnezeaux"
"445","Bourgogne Hautes Côtes de Nuits"
"446","Crémant d'Alsace"
"447","Mâcon-Péronne"
"448","Maranges"
"449","Augusta"
"450","Saint-Bris"
"451","New Mexico"
"452","Nevada"
"453","Adelaide Plains"
"454","Lessona"
"455","Vino Spumante"
"456","Boca"
"457","Rivesaltes"
"458","Charmes-Chambertin"
"459","Valpolicella Superiore"
"460","Valpolicella Classico Superiore"
"461","Alto Valle del Río Negro"
"462","Prosecco"
"463","Paicines"
"464","Condrieu"
"465","Colline Pescaresi"
"466","Sangiovese di Romagna Superiore"
"467","Empordà"
"468","Placer County"
"469","Chianti Rufina"
"470","Salice Salentino"
"471","Mâcon-Chardonnay"
"472","Ladoix"
"473","Viré-Clessé"
"474","Campo de Borja"
"475","Mâcon-Fuissé"
"476","Eden Valley"
"477","Spain"
"478","La Consulta"
"479","Napa County-Sonoma County"
"480","Solano County"
"481","Colline Novaresi"
"482","Adelaide"
"483","Agrelo"
"484","Veneto Orientale"
"485","Vin de Pays des Cévennes"
"486","Luberon"
"487","Adelaida District"
"488","Calabria"
"489","Taurasi"
"490","Eloro"
"491","Faugères"
"492","Crémant de Limoux"
"493","Valdobbiadene Prosecco Superiore"
"494","Irpinia"
"495","Picpoul de Pinet"
"496","Côtes du Marmandais"
"497","Coteaux du Layon"
"498","Cornas"
"499","Chalone"
"500","Savennières"
"501","Ventoux"
"502","Taburno"
"503","Chinon"
"504","Sebino"
"505","Vouvray"
"506","Columbia Gorge (OR)"
"507","Trebbiano d'Abruzzo"
"508","Crémant de Loire"
"509","Terra Alta"
"510","Victoria"
"511","Valdepeñas"
"512","Friuli Colli Orientali"
"513","Vin Santo del Chianti"
"514","Vosne-Romanée"
"515","Valdobbiadene Superiore di Cartizze"
"516","Recioto della Valpolicella Classico"
"517","Gavi di Gavi"
"518","Roero Arneis"
"519","Dolcetto di Dogliani"
"520","Neuquén"
"521","Moscato d'Asti"
"522","Saint-Nicolas-de-Bourgueil"
"523","Lake Chelan"
"524","Roussette de Savoie"
"525","Maremma Toscana"
"526","Rattlesnake Hills"
"527","Alta Langa"
"528","El Dorado County"
"529","Napa County"
"530","Côtes de Nuits Villages"
"531","Bourgogne Hautes Côtes de Beaune"
"532","Saint-Aubin"
"533","Marin County"
"534","Barsac"
"535","Conero"
"536","Menfi"
"537","Montilla-Moriles"
"538","Río Negro Valley"
"539","Pernand-Vergelesses"
"540","Málaga"
"541","Auxey-Duresses"
"542","Savigny-lès-Beaune"
"543","Mâcon-Verze"
"544","Saint-Joseph"
"545","Vin de Pays Var"
"546","Frascati Superiore"
"547","Volnay"
"548","Fort Ross-Seaview"
"549","Mt. Harlan"
"550","Quarts de Chaume"
"551","Lambrusco dell'Emilia"
"552","Colli Aprutini"
"553","Montepulciano d'Abruzzo Colline Teramane"
"554","Valpolicella Superiore Ripasso"
"555","Valpolicella Ripasso"
"556","Cheverny"
"557","Forlì"
"558","Colli Martani"
"559","Cienega Valley"
"560","Temecula"
"561","Ghemme"
"562","Carignano del Sulcis"
"563","Alghero"
"564","Anjou"
"565","Pécharmant"
"566","Minervois La Liviniere"
"567","Corbières"
"568","Marsala"
"569","Grand Valley"
"570","Colorado"
"571","Okanagan Valley"
"572","Clarendon"
"573","Côtes du Jura"
"574","Corton Les Renardes"
"575","Coteaux du Giennois"
"576","Aloxe-Corton"
"577","Rosso Conero"
"578","Falerio"
"579","Verdicchio dei Castelli di Jesi"
"580","Rosso Piceno"
"581","Hunter Valley"
"582","La Rioja"
"583","Central Ranges"
"584","Coteaux Varois"
"585","Val di Cornia Suvereto"
"586","Orvieto Classico Superiore"
"587","Vin de Pays du Val de Loire"
"588","Cochise County"
"589","Vino de la Tierra Altiplano de Sierra Nevada"
"590","Pine Mountain-Cloverdale Peak"
"591","Costers del Segre"
"592","Verdicchio dei Castelli di Jesi Classico Superiore"
"593","Custoza Superiore"
"594","Veronese"
"595","Val di Neto"
"596","Big Valley District-Lake County"
"597","San Antonio Valley"
"598","Bourgogne"
"599","Petit Chablis"
"600","Sierra Pelona Valley"
"601","Valpolicella"
"602","San Luis Obispo"
"603","Famatina Valley"
"604","Bâtard-Montrachet"
"605","Chevalier-Montrachet"
"606","Atlas Peak"
"607","Puisseguin Saint-Émilion"
"608","Asprinio di Aversa"
"609","Orvieto Classico"
"610","Bardolino"
"611","Orcia"
"612","Limestone Coast"
"613","Mâcon-Azé"
"614","Pyrenees"
"615","Prosecco Superiore di Cartizze"
"616","High Valley"
"617","Lambrusco Grasparossa di Castelvetro"
"618","San Bernabe"
"619","Vermentino di Gallura"
"620","Ben Lomond Mountain"
"621","Argentina"
"622","Morey-Saint-Denis"
"623","Missouri"
"624","Southeastern New England"
"625","Grand River Valley"
"626","Sonoita"
"627","Corton-Charlemagne"
"628","Emilia"
"629","King Valley"
"630","Pommard"
"631","Costa Toscana"
"632","Albana di Romagna"
"633","Grands-Echezeaux"
"634","Moscadello di Montalcino"
"635","Mazis-Chambertin"
"636","The Hamptons, Long Island"
"637","Vin de Pays du Comté Tolosan"
"638","Somontano"
"639","Tierra del Viños de Zamora"
"640","Niagara Escarpment"
"641","Central Victoria"
"642","Bordeaux Côtes de Francs"
"643","Shenandoah Valley"
"644","Savoie"
"645","Palette"
"646","Var"
"647","Val de Loire"
"648","Coteaux du Languedoc Pic Saint Loup"
"649","Primitivo del Salento"
"650","Tarragona"
"651","Valpolicella Classico"
"652","Hautes Côtes de Nuits"
"653","La Clape"
"654","Vin Santo di Montepulciano"
"655","Santa Barbara-Monterey"
"656","Gigondas"
"657","Conca de Barberà"
"658","Beamsville Bench"
"659","Lessini Durello"
"660","Bourgueil"
"661","Saint-Croix-du-Mont"
"662","Lake Erie North Shore"
"663","Prosecco Treviso"
"664","Côte de Brouilly"
"665","Mâcon-Pierreclos"
"666","Salina"
"667","Sainte-Foy Bordeaux"
"668","Saint-Chinian"
"669","Crozes-Hermitage"
"670","Southern Flinders Ranges"
"671","Napa-Carneros"
"672","Catalonia"
"673","Pouilly-Vinzelles"
"674","Lago di Corbara"
"675","Macon-Bussières"
"676","Colli Euganei"
"677","Offida Pecorino"
"678","Passito di Pantelleria"
"679","Illinois"
"680","Sant'Antimo"
"681","Vin Santo del Chianti Rufina"
"682","Corse Porto Vecchio"
"683","Côtes du Roussillon Villages Tautavel"
"684","Côtes du Roussillon Villages"
"685","Aglianico del Taburno"
"686","Castel del Monte"
"687","Colli di Faenza"
"688","Sangiovese di Romagna"
"689","Mâcon"
"690","Fixin"
"691","Sforzato di Valtellina"
"692","Corton"
"693","Latricières-Chambertin"
"694","Premieres Côtes de Blaye"
"695","Montagny"
"696","Vin de Pays des Côtes Catalanes"
"697","Malibu-Newton Canyon"
"698","Vino de la Tierra Contraviesa Alpujarra"
"699","Mount Harlan"
"700","Côtes du Tarn"
"701","Terrazze Retiche di Sondrio"
"702","Pla de Bages"
"703","Côtes de Provence La Londe"
"704","Coteaux du Layon Chaume"
"705","Sonoma-Napa-Mendocino"
"706","Dolcetto d'Acqui"
"707","San Francisco Bay"
"708","Nagambie Lakes"
"709","Côtes de Bergerac"
"710","Pacherenc du Vic Bilh"
"711","Chelan County"
"712","Riverina"
"713","California Other"
"714","Saddle Rock-Malibu"
"715","Echézeaux"
"716","La Grande Rue"
"717","Clos de la Roche"
"718","Vougeot"
"719","Wrattonbully"
"720","Mâcon-Vergisson"
"721","Lambrusco di Sorbara"
"722","Mâcon-Cruzille"
